"","V1","GISJOIN","FIPS","ADI_NATRANK","ADI_STATERNK","STATE"
"1402",200323,"G49004900102103",490490102103,"18","2",49
"1403",200324,"G49004900102104",490490102104,"20","2",49
"1404",200325,"G49004900102111",490490102111,"10","1",49
"1405",200326,"G49004900102112",490490102112,"1","1",49
"1406",200327,"G49004900102113",490490102113,"3","1",49
"1407",200328,"G49004900102114",490490102114,"16","2",49
"1408",200329,"G49004900102121",490490102121,"22","3",49
"1409",200330,"G49004900102122",490490102122,"13","1",49
"1410",200331,"G49004900102131",490490102131,"7","1",49
"1411",200332,"G49004900102132",490490102132,"13","1",49
"1412",200333,"G49004900102141",490490102141,"46","7",49
"1413",200334,"G49004900102142",490490102142,"12","1",49
"1414",200335,"G49004900102143",490490102143,"26","3",49
"1415",200336,"G49004900102144",490490102144,"28","4",49
"1416",200337,"G49004900102151",490490102151,"19","2",49
"1417",200338,"G49004900102152",490490102152,"22","3",49
"1418",200339,"G49004900102153",490490102153,"21","2",49
"1419",200340,"G49004900102154",490490102154,"14","1",49
"1420",200341,"G49004900102161",490490102161,"14","1",49
"1421",200342,"G49004900102162",490490102162,"12","1",49
"1422",200343,"G49004900102171",490490102171,"13","1",49
"1423",200344,"G49004900102172",490490102172,"7","1",49
"1424",200345,"G49004900102173",490490102173,"4","1",49
"1425",200346,"G49004900102181",490490102181,"9","1",49
"1426",200347,"G49004900102182",490490102182,"8","1",49
"1427",200348,"G49004900102183",490490102183,"9","1",49
"1428",200349,"G49004900102184",490490102184,"7","1",49
"1429",200350,"G49004900102191",490490102191,"12","1",49
"1430",200351,"G49004900102192",490490102192,"13","1",49
"1431",200352,"G49004900102193",490490102193,"10","1",49
"1432",200353,"G49004900102201",490490102201,"17","2",49
"1433",200354,"G49004900102202",490490102202,"20","2",49
"1434",200355,"G49004900102203",490490102203,"30","4",49
"1435",200356,"G49004900103031",490490103031,"18","2",49
"1436",200357,"G49004900103032",490490103032,"16","2",49
"1437",200358,"G49004900103041",490490103041,"44","7",49
"1438",200359,"G49004900103042",490490103042,"25","3",49
"1439",200360,"G49004900103043",490490103043,"21","2",49
"1440",200361,"G49004900103051",490490103051,"8","1",49
"1441",200362,"G49004900103052",490490103052,"11","1",49
"1442",200363,"G49004900104041",490490104041,"26","3",49
"1443",200364,"G49004900104042",490490104042,"21","2",49
"1444",200365,"G49004900104051",490490104051,"33","5",49
"1445",200366,"G49004900104052",490490104052,"32","5",49
"1446",200367,"G49004900104061",490490104061,"14","1",49
"1447",200368,"G49004900104062",490490104062,"19","2",49
"1448",200369,"G49004900104071",490490104071,"21","2",49
"1449",200370,"G49004900104072",490490104072,"30","4",49
"1450",200371,"G49004900104081",490490104081,"28","4",49
"1451",200372,"G49004900104082",490490104082,"19","2",49
"1452",200373,"G49004900104083",490490104083,"24","3",49
"1453",200374,"G49004900104091",490490104091,"28","4",49
"1454",200375,"G49004900104092",490490104092,"34","5",49
"1455",200376,"G49004900104101",490490104101,"36","5",49
"1456",200377,"G49004900104102",490490104102,"29","4",49
"1457",200378,"G49004900104111",490490104111,"18","2",49
"1458",200379,"G49004900104112",490490104112,"23","3",49
